,summarization
1803,"this hotel is absolutely fabulous...Very Grand and the service is brilliant. the moment you walk into the hotel, you are transferred into a frenzy of senses, smell, sound, sight - all very authentic and indian, beutiful insence etc etc...you cannot go wrong with this Hotel, though it is far out from the city!"
1804,"staff are the best i have ever experienced. nothing was too much trouble. rooms were clean and functional, flat screen TV, desk, refrigerator. internet connection was expensive (200Rps per hour)."
1805,we have just returned from two over night stays at this hotel. staff very good- competent and charming. food at breakfast and in Indian restaurant good. Rooms quite spacious and clean.
1806,this hotel was the friendliest and best appointed hotel of our trip. the evening buffet was super - especially the chef's made to order dosa!
1807,we arrived into Delhi for a couple of days relaxation before our tour of Northern India &amp; Tiger Safari. we stayed again at the end of the tour just to wind down before the return home to the UK.
1808,"this hotel was booked for us by a travel agent. the hotel is beauitful and the rooms are excellent, exactly what you would expect from 5 star hotel."
1809,"the hotel is very clean and modern and the pool area is large and pleasant. I did not come across any construction or renovation at the Intercontinental hotel. the staff is professional and adequate. The hotel had a couple restaurants with various chinese, indian and international selections."
1810,"very clean hotel with lots of marble and modern design. Small shopping centre nearby. Mostly Indian food with small choice of international dishes.We stayed for 2 nights which was about right., not a hotel for longer stays."
1811,"Nice Hotel but in a single room you never sleep along, as hotel is being restructured, mice run around rooms, good luck."
1812,"stayed at this hotel for a total of 3 hours and couldn't stand it anymore. they charged Inr12,000 plus 1,625 luxury tax and the internet was 800 + 100 VAT + service tax 99 so the total bill inr14,623 or US$365 for three hours."
1813,"Hong Kong hotel is 20 out of 10, this one is 0. room is so old and tired no life in it carpet carpet had stains on itbed is sagging no shower in the bathroom, have to stand in shower which has paint peeling off then at night when the next room flush the toilet it wake you up. will next time go back to another hotel again if you stay in a new hotel - it's the best place to stay!"
1814,"the buffet on Sundays is fantastic. there are several parts to it with salads, hot food, desserts and cheeses.there is always a chocolate fountain on the dessert table which is delicious."
1815,"my credit card had been charged TWICE for my stay. I settled my bill in full when I left, and that charge was on my statement, dated a few days later. the hotel double-charged me."
1816,the hotel is so beautiful and sparkling clean with fantastic service and food. it is just the management and front desk personnel that are a problem in this hotel. the service in the restaurants and the room attendants is fantastic.
1817,"my wife and I stayed a couple nights at the Intercontinental Nehru Place. the hotel is not cheap (around $230 after taxes), but it's nice, quiet and comfortable for our guests to stay in the midst of an expensive trip in Rajasthan. Delhi is expensive, and hotels are often poor value."
1818,"we lost about 20minutes to find the phone calls, and they charge me some calls not completed. i hope next time stay in other place more thurst."
1819,India is expensive currently as there is a shortage of good quality hotel rooms. this hotel costs similar amount to some much poorer properties in New Delhi perhaps 20% more but worth the investment investment.
1820,"a smoking room in this hotel was cleaned quite well. the staff found the room and brought it to me and showed me how to wrap the sari! the food from the “coffee shop” was outstanding. I ate almost all Indian food and it was great, plus the service was excellent."
1821,"superb staff, clean and efficient, great restaurants. Not quite so central but you always use taxi anyway and it is a price worth paying for this real quality."
1822,"I was knocked out by the service standards of the first hotel I stayed in. they have this system where you dial &quot;9' for any requests, this links them to their 'Instant Help Center'"
1823,"stay at this property twice, and had a fabulous stay both times. on our first stay, we arived after midnight, yet it seemed that the entire staff came out to greet us in an receiving line. the suite was immaculate and rollaway beds were made up for the children. both bathrooms were supplied with every imaginable amenity."
1824,"the front desk at this hotel is terrible. they don't know what they are doing. I booked thru Orbitz and my reservation was fully paid for before I arrived. i even brought the receipts with me when I went to check out, they told them to call orbitz, and they insisted on taking my credit card."
1825,"this hotel is beautiful and opulent, as you would expect of a hotel of this price range and class. the rooms are lovely, furnished well and with super bathroom (see uploaded photos). my parent’s room smelled of smoke but they were given an non-smoking room when they asked to change so no problem there."
1826,"we stayed at this hotel on the last leg of the package, which was our next-to-last night in India. the hotel made up for the hassles and substandard facilities that I had to endure prior to checking into the IC. it's a nice business-class hotel, and I thought it was tourist-friendly as well, although most other guests there were on business."
1827,I stayed at intercontinetal in december 2006. I will definitely stay here on my next visit to delhi.Only drawback is distance from the international airport which is about 45-60 minutes drive.
1828,"our trip to agra was fantastic - our tour company collected us from the hotel and physically put us in our first class train seats. the business centre is very good, but they do charge you for internet use. it was not very expensive. we would definately stay here again."
1829,"a helpful airport employee called the Hotel &amp; put us in touch with the front desk. the hotel stated that they didn't have any flight or arrival information so could not send an car. we waited another 30 minutes for another driver to pick us up, and of course were charged for it."
1830,"was in Delhi for an extended time over the summer and decided to splurge for a weekend. the wrong set of keys were sent up and when the right set came they got stuck in the door for some time. staff are desperately in need of some training. finally, got it open after 15 minutes waiting outside our room."
1831,"this year due to sheer convenience I once again stayed at this hotel. the hotel's standard services are still the same one expects from every 5 star hotel, but it was the little things they did that made time there so great. i tried their chinese restaurant this time...I was thrilled by the authentic cuisine put together by an actual chef from East Asia."
1832,"the front desk staff need a better attitude to customer service and to actually do what they say they will do. the rooms are good, and clean: I've stayed in both the Club rooms and one of the Suites."
1833,the manager at the reception with red tie offered me a complimentary juice and welcomed me back home. the staff were nice and the rooms were old but well maintained - there is noice travelling from outside if you want to eat in the car or go to the taxii. i was really tired and wanted to keep away from normal formality.
1834,"stayed for 3 days. Room service excellent. some reception staff very cool,some get very stressed. one person didnt have a clue and treated us. 24 hour restaurant -you can still see flies allover. music too loud for conversation."
1835,"we had 2 rooms for 3 days during an off-peak season. our price was quite good (6580 Rupees plus tax) but in the heat of summer, you'd expect a top hotel to apologize profusely, refund your room or offer another room, or something similar. the thermostats and climate control systems were old, but most of the hotel facilities had been updated."
1836,"warm and cozy rooms, plush interiors, nice service and tasty food. good connectivity for business and tour planner available in the hotel. a good breakfast and good value for the price paid."
1837,we were made very welcome and nothing was too much trouble. the hotel is very plush and elegant it still had that comfy feeling. a lovely hotel - the staff was very nice and cosy.
1838,the hotel is designed with class and ambience. Had meals in quite a few of the restaurants and all of them were superb. even tried the Bill Clinton meal in one! it's pretty big and can keep 3 people happily fed!
1839,"the hotel was so cramp it was the worst room out of all the other hotels we stayed in. the dublin bar was ok but didnt offer us a apology, it is the last night of our holiday and worst. i cant understand why we were thererecommended to stay looking back on the holiday."
1840,"the only place u can eat good food 24/7. the hotel is one of the nicest hotels in the city. great partys, lots of young people, and the perfect place to ate good foods 24/7."
1841,the hotel security appears to be high because of other events in the country. the only downside is the large number of AA and Finnair flight crews do monopolize the business center computers periodically during the day. i plan on staying at the ITC Maurya in New Delhi.
1842,"my father and I stayed at the Maurya when in india last month. the hotel has a deluxe room with twin beds, but with separate duvets, it wasn't the problem. i ate several meals at this hotel, and the Bukhara is an old tradition of mine and yes, while it may be sometimes erratic in quality, I still love it. my standard order is the leg of lamb, daal and naan."
1843,"i stayed at this hotel, booked from the internet, all though december is high season. the rooms are large and comes with all mod cons of five star hotel."
1844,"the most famous resutrant in this hotel is bukhara and dal bhukara is the delicacy. the other side is a beautiful swimming pool, which i feel is not good enuf to swim but to just lie and soother your nerves)"
1845,"hotel rooms are very well decorated, very clean and trendy. food at the main restaurant was really outstanding. staff was great with little delays for the check out. the hotel is an excellent place to stay in DELHI."
1846,"every 5* hotel in india is amazing. food and bars very good and very entertaining. well worth a visit. if they didn't have something that you wanted, they would get it for you."
1847,"wake up call automated service didn't work properly. hotelkeeping department should be focused on small things, placed in room, not to be missed. there should've been discrepance on ameneties in separete rooms.-they advertise Executive lounge but one is not in funcion."
1848,this 5 star hotel is located in the green diplomatic enclave. the hotel has most features you would expect like a swimming pool and spa and has numerous top notch restaurants. however you can't go wrong by staying here.
1849,"stayed here for 5 nights in July for business in a quite part of the town (Diplomatic Enclave)+ Large, clean rooms with good amenities. great restaurant selection and food, although expensive (especially the alcohol)"
1850,I stayed at the Maurya Sheraton in 1984. it was beautiful and one could really experience Indian culture. I took a cab in every day to be with friends in Vijay Nagar. the whole trip was an exotic paradise.
1851,this was the same hotel Bill Clinton chose to stay during his visit to India. it is surrounded by one of the greenest places in Delhi.
1852,the rooms were spacious and very clean. the hotel is a little way from the sights - short cab ride its well worth to sometimes escape and be in an relaxing environment..
1853,the best is the indian food restaurant- bukhara. overall food is exceptional in the hotel. a great property is well located. good location is close to the iia - st t..
1854,"the stay was very good overall, but restaurants in the hotel are quite expensive. on my arrival day, I needed cash for the day after and reception send their car to take me to nearest ATM."
1855,"the room's warm colors give you a sense of peace and comfort, especially at the end of an arduous day2. each room has its own mini-bar - stocked with the best alcoholic and non-alcoholic drinks3.The swimming pool was large and very well maintained4. There was rich variety in food."
1856,the hospitality is great - you are in a special world right from the time that the doorman greets you. the rooms are lovely and the offers like the trip to the Taj Mahal are really well thought-through. I love the shopping arena in the hotel which is open at unearthly hours for the last-minute shopper.
1857,the food in the chinese was exp and ok. the room was big but didn't care much for it. Wouldn’t return.
1858,one of good hotels in New-Delhi.Excellent location.Nearby to India Gate. located near to all Embassies.
1859,"the ITC Maurya has all the facilities (gym, pool, spa) that you will need to feel comfortable. the hotel taxis will try to tout you and ask you if they can stay and wait for you at your destination. sometimes it's cheaper to walk onto the street and grab and auto rickshaw."
1860,"it is a very good hotel to stay with I liked it as its half way from airport and the CP. the hotel has very modern looks of rooms, the staff is very prompt, and every minute details is taken care off when you stay at them."
1861,the modern looks make it truly on par with any other 5 star hotel room across the world. the food is expensive but they do have good room service.
1862,"this is one of the most happening hotels in India, Speedy, efficient service. excellent location in the Diplomatic Enclave. a great coffee shop. nice location."
1863,the hotel ambience is fantastic. the room was good and the breakfast buffett was great. it was an overnight stay for me and I really liked everything about the hospitality which it provided.
1864,the experience at Maurya was bad to say the least.It looked like a cheap hotel which hasn't been maintained for ages.
1865,Hotel Mourya is crown of historic city of Delhi. during business stay they provide all luxury and comforts which really miss in other place. good food and warmth service are the tool which fetch you again and again in hotel Mouya..
1866,the BEST HOSPITALITY never found anywhere else in the world. it is one of the best hotels in Delhi with positive vibes and always look lively.
1867,the best part of my stay at ITC was that they never let me feel that i was away from my home and looked after my comforts. I was so happy to stay with the staff and their staff was a pleasure..
1868,"Maurya hosts one of india's first discotheques. service is speedy, efficient &amp; courteous. food at all the restaurants is great.- my Humble House is extremely quaint and dainty. Terrific coffee at the bar. great location.."
1869,"hotel staff were always professional and helpful, without being obseqious and hungry for tips as they are in some Delhi hotels. I would definitely come back to the Maurya as I got a very good rate."
1870,"i stayed in couple of excellent hotels in &amp; out of India. but when you enter the huge central Pavilion from front porch, you can't stop looking at bright lighting and gold finish elevator doors.Once inside your room, your dream walk to luxury continues with sparking clean interiors, 32 inches LCD TV, cozy bed, and variety of fruits, snacks available at your disposable."
1871,it was offical conference organised by my organisation. it included introduction to PDMS etc. It was a full day conference with deligates from wide variety of industries.
1872,"the hotel was classy and the service was excellent. seems like ITC Maurya is 'the' hangout of celebrities and VVIPs in New Delhi. the only disappointed was an extra bed that we had asked for, which collapsed in the middle of the night while we were sleeping."
1873,I chose my usual 500 Starpoints welcome amenity which helps build up my points for future redemptions. check-in is always in the same style as other Starwood properties where staff greet their guests with warmth and in style that reflects all starwood Hotels.
1874,"my husband has stayed at the Maurya Sheraton more than 25 times. the architecture, Interiors and Rooms are beautifully designed and the hotel is meant for the creme de la crème, but the mural dome in the lobby witnesses hundreds of business meetings,people who just come here to have a meeting and then move on!"
1875,"the Maurya Sheraton excels in fulfilling this perquisite by a mile. every member of the staff is helpful, kind, compassionate &amp; cheerful. they go out of their way to make you feel welcome and comfortable."
1876,the food tastes so delicious here at this restaurant that people should be careful not to eat their own fingers!!. this is what I call dining in style... it's an awesome Mughal Experience...!
1877,"we spent 3 nights there while on a wedding ceremony in Delhi &amp; Kathmandu. staff is professional and very keen to help you. many nice details, i.e. room staff can see from outside if room is occupied, there is european plug on the desk, no need for adapters! food is excellent, though we only had breakfast from the huge buffet and one dinner - all other nighs we were out of the hotel."
1878,"excellent, Fabulous and Magnificent.. Amazing food in Bukhara restaurant. it is one of the poshest restaurant of new Delhi - a restaurant in the city of san francisco. most foreign country ministries stay there during their visit to India. hotel is landmark of luxury."
1879,the service is impeccable and totally reliable - pleasant and courteous staff go out of their way to make your stay a memorable one. the hotel does not overcharge for items such as the internet or the laundry (compared to other 5+ star hotels around the world).
1880,it is one of the most comforting hotes with nice rooms and excellent food. it always nice to come and visit the hotel.
1881,"check-in process delayed my schedule by nearly an hour. hotel also houses the famed Bukhara and Dum Pukt restaraunts, the best known in india."
1882,"maurya's d best hotel Ive visisted so far. the ambience was awesome, the food sumptuous..services were prompt."
1883,"the hotel has hosted some of the world famous dignitarties including Bill Clinton. the massage chair, the jacuzzi tub in the bathroom and the music system are my favourites and I would recommend the ITC One rooms as they are an experience in themselves.I also enjoyed the food at Bukhara and entertaining a few clients there for business has provded helpful."
1884,"the Bhukara is the best in india. good loyalty program, the welcomaward. Happy hours at the Towers lounge is worth mentioning as excellent. personalised services. excellent food is of the highest qualtiy."
1885,hotel upgraded me - I was glad. the upgraded room was wonderful. I particularly liked the massage chair in the room and the music system. i like the hotel's relative closeness to the airport.Would definitely recommend this for your next Delhi visit.
1886,this hotel property is a great place to go to with friends or business guests for the food at Buhkara. recommend the stay to anyone who wants to be close to the great food in Mauyra.
1887,the hotel is located near the posh diplomatic area of New Delhi and hence is in relatively verdant and peaceful surroundings. a good workout before or after meal at one of these places is recommended.
1888,the front office staff were extremely courtious &amp; their 'namaste' welcome with their smiles takes out all your stress.
1889,all five star hotels in india are majestic and oversized. the main area of the hotel is a great place to stay in the iTC tower. all 5 star hotel in India are luxurious and majestic - this is no exception. only drawback is constant problems with internet access.Bhukara and Dhum Pukt are v. expensive but excellent restaurants. Bfast is average.
1890,"stayed in the Murya for several reasons. the hotel is a good hotel mainly because of its level of service. it also hosts many conferences, seminars as well as receives dignities from around the world."
1891,"stayed here one night for business in the Towers section of the hotel. enjoyed the Dublin Bar happy hour with co-workers from 6-8 PM - they kept on serving free onion rings, chicken fingers, nuts and even a &quot;Clinton's special'"
1892,"the rooms at this hotel were great. I had booked 2 rooms but when I arrived at the hotel, only 1 of them was ready. most of the staff were salivating for tips. they greet you hypocritically hoping that you'll drop a tip in their direction. i think it would be better to stay in the Sheraton in Saket which is cheaper as well as newer."
1893,"stayed in towers room which was a little small but the quality of the room and elec toys made up for it. massive flat screen tv. great hotel overall, good choice of restaurants, make sure you visit the Bukhara Restaurant, amazing food."
1894,"the hotel had some visiting dignitary and made your arrival seem like it was an inconvenience. after requesting a &quot;non-smoking room, I returned back down to the reception and finally I was put in an unused gym room."
1895,hotel looks spectacular and seems to be a favourite of Delhi's rich and famous. staff very friendly and efficient. Afterwards I can recommend the laundry service that makes your shirt look better than new!
1896,stayed at the Executive Level in a newly renovated room. good size room with stable internet connection. Nice bathroom with glass separation to the bedroom.Very nice touch by room assistant who added personal touch to housekeeping.
1897,"the hotel is the preferred residence of visiting heads of state and global business leaders for over 25 years&quot;, it should be better. the towers Club staff are great, as are the poolside staff; the renovated rooms are a great improvement, especially as the windows now fit..."
1898,the hotel is not an easy walk from any shops or restaurants. it is a superb hotel although expensive by any country's standards.
1899,stayed for 1 night in the hotel for a recent business trip. was booked in deluxe suite paying hefty USD630 per night - the most expensive hotel I have stayed in.
1900,"stayed at this hotel for two nights at the beginning of March. the room was clean, the bed was very comfortable with supersoft pillows (my description, guests can choose from a choice of different pillows if they wish)."
1901,I went to new Delhi on a business trip and enjoyed my time at the Maurya. I sat in the lobby waiting on an associate and really enjoyed the live piano player and his'show tunes'
1902,the hotel staff was very nice and were very eagar to help. it's one of the nicest hotels in India and it doesn't compare to a Ritz Carlton or Four Seasons but it is isolated in the diplomatic enclave and you need an driver to take you around.
1903,I stayed in the main Maurya hotel from 1/13 to 1/22/08. I had booked the room on the internet and checked in was very smooth. room was turned over twice a day. bathroom/showers and closet areas were excellent. breakfast buffet was included in price [$450]
1904,the Starwoods in India make a Platinum guest feel appreciated. the hotel features two restaurants featured in the Thousand Things to Do Before You Die book. we tried Dum Puhkt and it was great but we were so sleepy we may not have fully appreciated it.
1905,"we did go back for dinner at Bukhara, and it was one of the best Indian meals we have ever had anywhere in the world. the rooms were nicely decked out but a little small."
1906,the lobby is very nice.Executive rooms were very good (not very big though).Main restaurant is nice place to have lunch or dinner.Even the bar/pub was nice and happened to be a very popular place for the local youngsters.
1907,we stayed here twice each for one night during out stay in india. we frequented both bars in the hotel and the Irish themed bar was dark and dingy but surprisingly appeared to be the more exclusive of the two bars. the best part about this hotel however is the Bukhara tandoori restaurant.
1908,"our room was called a Garden View Deluxe suite and was the size of two hotel rooms. the hotel was clean, luxurious, and hospitable. rooms were modern (flat screen Plasma TVs), luxurious bedding, fantastic air conditioning, & free from any odors even though smoking is common in hotels in india. some of our colleagues at the conference stayed at Taj Palace and the Taj Mahal Mansingh."
1909,"this was definitely one of the best rooms we had in India. the buffet is also very good. a great experience here. great, updated room with great bathroom."
1910,"the restaurant is surviving on business travellers with nowhere else to go. their terrible service, average food and expensive prices would make sure they close down fast!"
1911,"reviewers have emphasized that the hotel seems to be overpriced. however, despite the prices, I had no complaints with the hotels. the room was clean with a very comfortable bed, service was acceptable, and breakfast buffet was serviceable."
1912,a flat panel TV (37 in?) and several English cable channels were available. breakfast buffet (included with room) is really good. great selection (Indian and Western)
1913,"the room rate was nearly $500/night and, in my opinion, quite overpriced. I have stayed in hotels in Europe, the united states, and other parts of the world at the same room rates where the hotels were much more luxurious."
1914,we chose Meriden for our first night and then Sheraton for the 2 separate stays we planned during our golden triangle tour. we were travelling back from Amritsar on a late train and phoned the hotel to arrange pick-up at the train station. he speedily packed all 4 suitcases in the car and got us there in quick time.
1915,"stayed on the refurbed 4 th floor - the Bakhara restaurant is in top 35 restaurants in the world. the tandoor lamb is fantastic! great room, nice environment, staff very helpful! would go back!"
1916,"the staff at the Maurya Sheraton were so helpful to us in our little crisis. they went so above and beyond for us, advising us on the steps necessary to get our act together - -1st, going to the US Embassy, and then the Indian Tourism Bureau...and made it onto our flight with our emergency 1-year passport and the exit visa stamp. we spent quite a while lounging around the lobby and it was very pretty with murals that remind me of Orozco or Diego Rivera in"
1917,the hotel is close to the airport and not more than 15 minutes by auto rickshaw from the center of town and the railway station (convenient if you're taking a day trip to Agra)
1918,"i was on business w/ friend; he has very expensive tastes. but my 1 night was $500. ouch. great room, nice interior, outside is sort of ugly, but who cares.Free breakfast (omlette...maybe best ich've ever had)Only complaint is the $15 internet fee; miserly when you pay that much to get nickle and dimed."
1919,I booked this hotel on their website and stayed for 8 days in Jan. 07. the booking process was not without glitches. I had booked the hotel at the last moment(big mistake) and had no choice because of the lack of availability of more moderately priced hotels.
1920,"the hotel has three separate divisions, the regular rooms, Tower rooms and the ITC One rooms. the staff was wonderful and went out of their way to make us feel like royalty."
1921,stay at this hotel for the 3rd time this year due to a conference at the hotel. it's difficult to work out for long time as there is almost no air conditioning in the gym.
1922,"the hotel is really three connected hotels - the Executive Tower, the Club Tower and the ITC One Club. rooms in the executive tower are very small, and were noisy during my last visit due to construction."
1923,"this hotel was excellent in some areas and unsatisfactory in others. the hotel staff will cater to your every need. most of the staff you will encounter speak English and are very polite. Supposed to stop at 7pm, but that's not true."
1924,"in the winter of 2005-6, my wife and I stayed at the Maurya Sheraton on 3 separate occasions. the club was a bit cheaper ($275.00US) and we were lucky to get the newly renovated 12th floor."
1925,this was my first trip to India and my 4 night stay was a very good experience. the purpose of the trip was business and the desk and chair in the relatively spacious room on the third floor had good reception for the wireless internet connection.
1926,"if the Maurya qualifies as 5 star, I would give this place close to a 4 star (3.5 would probably fit the bill perfectly). the hotel's location is very central, with hardwood floors, plasma TVs, and marble bathrooms. -great bakery. lots of U.S. style cakes and pastries, but reasonably priced (also 1/2 price after 8pm)."
1927,the hotel's proximity to the Connaught Place by 3kms has made it a preferred stay option for both leisure and business travellers.
1928,"amazing is the word.. wonderful hotel, wonderful ambience and wonderful staff. what a place..a treat for everybody!. marvellous hotel and great staff!"
1929,"hotel Siddharth is one of Comfortable Hotels. the hotel has almost all the required facilities like Swimming Pool, Doctor On call and the most thing i liked about it is the comfortability and quality of food and ofcourse the service they provide is very quick."
1930,"we were travelling with a tour party and had read reviews. the foyer was modern and welcoming, reception was efficient and our room on the second floor was clean and comfortable. staff were helpful and efficient. location of the hotel is never going to win prizes but was fairly close to the sights of New and Old Delhi. outside swimming pool closed for major refurbishment, just as well as the weather was unseasonably cold."
1931,"this is my first time in India and we went to walk the Gift Show. our travel agent tried to book several mid-priced hotels for us for $300 USD per night, which is still quite high for what we thought we would have to pay for a mid hotel in india. the hotel was clean and I had no problems using the towels or sleeping in the bed."
1932,the first room they put us in really had a strong stench from smoking. the second room was better and we were pretty tired so we just put up with it. we then discovered that the fridge didn't work and the kettle did not work.
1933,the city park hotel is under renovation and you had to access the elevator from the next level (not fun with suit cases). the air condition did not work all of the time throughout the entire building. the hotel was doing construction on the patio until 8pm.
1934,"some rooms are still not renovated, look like 15-20 years old, but it doesn't mean that they charge you less if they put you in such a room...the aircondition seems to be an absolute must, only arctic temperatures seem acceptable for their guests."
1935,I was firstly given a room with an interconnecting door. you can hear your neighbours nocturnal noises etc. Had to sleep one night and then we were given the room on the fifth floor after complaining. even more disgusting...bathrooms were dirty...fixtures on wall were old and dusty. by no standards it can be called 4 star! for the price they charge it is definitely not worth it. I hope readers of this review will never stay in any of the Jaypee hotels as the
1936,"the room we had was refurbished and extremely nice with flat screen tv and waterfall shower. the view out the window was terrible - construction. no double beds were available. our friends tried to get some, but were moved back the next night. be warned about the construction! it begins at about 8am and proceeds to about 9pm."
1937,a man occupying the desk at the hotel is useless and rude. he showed such indifference to my query that it was unbelievable. his bedroom was fine - comfortable and clean. I noted no smells anywhere. Better/double glazed windows might be good to keep out the noise from the street below.
1938,"you can stay at a much nicer hotel for the price they charge. the smell, are small, and the staff is rude. there was construction going on when i stayed. hotel also gave us trouble about the complementary taxi to the airport. Would definately not suggest."
1939,we stayed at this hotel for one night passing through Delhi on the way to Agra. room service and housekeeping staff were extremely pleasant but refused to leave the room until they were tipped (every time) a sign outside states that refurbishments are in progress so perhaps this is to be improved so maybe this will be better. there are plenty of cheaper hotels that offer same standard of accommodation..and without the smell!
1940,some of the staff who work on reception are unbelievably arrogant &amp; rude. a shame as the rest of staff appear conscientious.
1941,location isn't brilliant as there is little to visit within walking distance. Connaught place/Old Delhi are about 20 - 30 minutes by taxi. would stay there again.
1942,we stayed one night only at this hotel as it was closer to the airport. we were greeted by a charming girl...but once she was gone there was not one friendly face except perhaps in the business centre. after all our wonderful memories in India...this one wasn't awful....just ordinary!! We had definitely been spoilt with our other choices.
1943,the staff at the counter looks ok but do not help when accosted with a problem. realised that hotel is discriminatory quite late.
1944,the service needs to improve a bit though.Had stayed at The Grand in the same area but remained away as heard it had caught fire some time back.
1945,the hotel was close to the airport and was clean and had a plush entrance. there were no other hotels close by as these were mainly in the diplomatic area which was near the town centre. this becomes of major concern once you realise how bad the traffic can be at certain times of the day and you're in hurry to get to airport.
1946,"I stayed on 9th and 10th June 2009. the hotel tariff is reasonable and have all facilities Viz. secretarial services, conference facilities and health club. The hotel is nearer to airport and is veery close to my meeting place i.e. Indian Roads Congress. I enjoy staying in this hotel. this is 12th time I's staying. it is the best place to stay in the world."
1947,"we had two day business meeting in the hotel Vasant Continental. hotel is non smoking zone, the space alloted for smokers was open &amp; very hot, i personally think its good way to discourage smoking but it would be good if hotel provides a little comfortable space for smoking as few members were annoyed by the heat. the swimming pool is very small so gets crowded in morning hours so couldn't really enjoy it."
1948,Ambience PerfectFood : a must try for chicken dishes. spaciousEnvironment is just so perfect for staying and especially when you are stressed down with work.
1949,stayed in this hotel while on business travel to delhi. the rooms are fantastic. i enjoyed the stay.Rooms are excellent. service is proffessional and staff is courteious. buffet breakfast is the only area that may be improved was the menu of Buffet breakfast.
1950,"I have stayed here for more than 5 times... and ambience here absolutely great... during IPL season - I i was staying along with Deccan chargers team and we could meet Gilchrist, Laxman, Gibbs etc...it was a wonderful evening...Suite room with complimentry wine will give pleasant sleep after tiresome business hours...Review by JP # 9W 111061985."
1951,stayed at Jaypee Vasant Delhi when on a Page &amp; Moy Tour during Oct 08.. hotel is some distance from the centre of new Delhi- (about 40 mins in Tuk TuK) but some would say that this is an advantage to be out of the hotel boundary.
1952,"the food quality is excellant and to my surprise the hotel has provided a complimentary wine bottle in my room. if I get an opportunity, I will not hesitate to Sign in once again."
1953,"my room was a good size compared to some of the hotels I have earlier stayed in. the staff was extremely warm and helpful and attentive. The best part is the restaurants (which I continue to visit), especially the Chinese and the cafe with quite an unusual name -Eggspectation.."
1954,"despite promising first impressions on entering the hotel, this hotel was very disappointing. several problems occurred during my stay. a hotel is undergoing refurbishment in some rooms and my room had strong smell of glue / solvents. however, that smell was preferrable to the one that met me on enter the bathroom."
1955,this hotel was selected for its peaceful ambience for a last evening in Delhi prior to flying out the following morning. the meal we had in the Restaurant ranked as one of the best of our trip. Authentically Indian. There are other restaurants in this building but this was the Best - check in was smooth and trouble free! we are not frequent users of 'City&quot; Hotels' and this more than met our expectations. Friendly without being fussy. Large but not soulless.Just what we needed for good nights sleep
1956,"a nice hotel. not exceptional but clean, comfortable, good service and reasonable price. better classified as 4 star rather than 5 star."
1957,"this hotel is billed as a 5*, but not an european 5 *. it's about 15 minutes from the main airport, be amazed by the changing route, dual carriage way leading down into an awful road through mad traffic and every kind of transport you can imagine! the rooms are decent size, with all the normal facilities, very comfortable bed."
1958,"the massage room is far too small and the masseur not up to his job. bath room was a delight, even though I booked the cheapest room!"
1959,"hotel Vasant Continental has a nice little gym, yoga classes, spa and salon. the breakfast buffet was delicious, they had both Western breakfast offerings, an omelette station, and South Indian breakfast as well, not to mention fresh fruit. I never tried the room service, as I like to be out exploring the city hot spots, but there was always plenty of bottled water, my sheets and towels were always clean and fresh."
1960,breakfast included in our stay which was provided with a bottle of wine and fruits when we first checked in! - there was an event at the hotel on fri night! hip hop night.
1961,this hotel is a bit away from the business quarter. rooms are adequate and service is what one would expect in an business-oriented hotel.
1962,"we stayed in Jaypee Vasant Continental just for a night in transit between international and domestic flight. hotel itself was clean and nice, room was also well maintained and room-service was prompt and food was of good quality."
1963,"hotel was pleasant surprise, as it was in a quiet area and had good food (though expensive) and newly refurbished and clean rooms. hotel is located near JNU campus and airport and around the corner is western style shopping area."
1964,"two computers is inadequate and the service should be included with the room rate at a hotel of this caliber. for women, check out the well priced beauty parlor."
1965,the hotel is very conviniently located at the middle circle on CP. the rooms are clean and the beds are soft &amp; comfortable. there are 2 issues (1) The room is small (2) One has to climb 2-3 flights of stairs to reach the room as its spread over 3 floors with no lift. insist for discount upto 20% of the tariff will be waived if you are not able to stay in the cc..
1966,"the hallways were clean, well lit; well decorated. the rooms were larger than the other hotel in the same area, in comparison, this seemed more deserving of the &quot;mid-range' or 2-3 star designation."
1967,"a chap is introduced to you as the travel desk. he can give free maps, free travel advice and 15mins free of internet service."
1968,"our room was clean and comfortable, but it was the only hotel we stayed at in Delhi so difficult to make a comparison. do not trust this hotel with any of your travel arrangements, or this travel agency."
1969,i paid about $80 for one night here in the Connaught location in November. it looked fine to me and was shown a room and told I could choose another if I wasn't happy with it. the bathroom was dirty and falling apart like I expected bathrooms in India to be (this was the first time it actually happened in an hotel though).
1970,"our girlfriend and we stayed at hotel Jukaso Inn (the one in Connaught Place) for our first night in India on 10/11/07. we booked the hotel online in a last minute rush because other than our plane tickets and initial waitlisted new Delhi-Jaisalmer train ticket, we had organised nothing for the holiday in india - we paid 3850Rs + tax for one double room!"
1971,"I booked at the WRONG Jukaso Inn after reading a favorable review in Frommers guide book. the hotel was really nothing special, nor terrible. just average. but it's possible that others who have reviewed this hotel might have been reviewing the wrong location?"
1972,"the hotel's interior visible through the glass lifts is adds to the excitement. the rooms are excellent, nicely done up, and the bell staff still gives you a taste of the legacy."
1973,"the breakfast there is complimentary.Room was a nice one with TV, comfertable bed with pillow, mood lighting and many more."
